,Breakdown,Ticker,Company,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,General & Administrative Expense,Other G and A,Selling & Marketing Expense,Research & Development,Other Operating Expenses,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Gain on Sale of Security,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Other Finance Cost,Earnings from Equity Interest,Special Income Charges,Other Special Charges,Net Income Discontinuous Operations,Otherunder Preferred Stock Dividend,Average Dilution Earnings,Depreciation Amortization Depletion,Depreciation & amortization,Gain on Sale of Business,Minority Interests,Amortization,Amortization of Intangibles,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Preferred Stock Dividends,Write Off
5,12/31/2016,GRUB,Grubhub Inc.,"493,331","493,331","214,210","279,121","195,269","160,076","49,753","49,753","110,323",,,"83,852",,,,,,,"83,852","34,295",,"49,557","49,557","49,557","49,557","49,557",0,0,"85,069","86,135",,"409,479","49,557","49,557",,,,"83,852",,"214,210","35,193","49,557",,,"119,045",0,0,,,,,,,,"35,193","35,193",,,,,,,,
1,TTM,INTU,Intuit Inc.,"6,857,000","6,857,000","1,337,000","5,520,000","3,980,000","2,641,000","636,000","636,000","2,005,000","1,332,000",,"1,540,000","42,000","52,000","10,000","-7,000",,"-7,000","1,575,000","238,000",,"1,337,000","1,337,000","1,337,000","1,337,000","1,337,000",,,,,"1,540,000","5,317,000","1,337,000","1,337,000","52,000","10,000","42,000","1,585,000","1,812,000","1,117,000","227,000","1,337,000",,,"1,812,000",0,0,,,,,,,,"7,000","7,000",,,"7,000","7,000",,,,
2,7/31/2019,INTU,Intuit Inc.,"6,784,000","6,784,000","1,167,000","5,617,000","3,763,000","2,524,000","597,000","597,000","1,927,000","1,233,000",,"1,854,000","31,000","46,000","15,000","-4,000","3,000","-4,000","1,881,000","324,000",,"1,557,000","1,557,000","1,557,000","1,557,000","1,557,000",0.006,0.0059,"260,000","264,000","1,854,000","4,930,000","1,557,000","1,557,000","46,000","15,000","31,000","1,896,000",,"948,000","225,000","1,557,000","3,000","3,000","2,121,000",0,0,,,,,,,,"6,000","6,000",,,"6,000","6,000",,,,
3,7/31/2018,INTU,Intuit Inc.,"5,964,000","5,964,000","977,000","4,987,000","3,490,000","2,298,000","664,000","664,000","1,634,000","1,186,000",,"1,497,000","-2,000","18,000","20,000","8,000","7,000","8,000","1,503,000","292,000",,"1,211,000","1,211,000","1,211,000","1,211,000","1,211,000",0.0047,0.0046,"256,000","261,000","1,497,000","4,467,000","1,211,000","1,211,000","18,000","20,000","-2,000","1,523,000",,"730,000","253,000","1,211,000","7,000","7,000","1,776,000",0,0,,,,,0,,,"6,000","6,000",,,"6,000","6,000",,,,
4,7/31/2017,INTU,Intuit Inc.,"5,177,000","5,177,000","809,000","4,368,000","2,973,000","1,973,000","553,000","553,000","1,420,000","998,000",,"1,395,000","-23,000","8,000","31,000","-5,000","7,000","-5,000","1,367,000","396,000",,"971,000","971,000","971,000","971,000","971,000",0.0038,0.0037,"257,000","261,000","1,395,000","3,782,000","971,000","971,000","8,000","31,000","-23,000","1,398,000",,"575,000","236,000","971,000",0,0,"1,634,000",0,0,,,0,,0,,,"2,000","2,000",,,"2,000","2,000",,0,,
5,7/31/2016,INTU,Intuit Inc.,"4,694,000","4,694,000","752,000","3,942,000","2,700,000","1,807,000","518,000","518,000","1,289,000","881,000",,"1,242,000","-32,000","3,000","35,000","-7,000",,"-7,000","1,203,000","397,000",,"979,000","979,000","979,000","806,000","979,000",0.0037,0.0037,"262,000","265,000","1,242,000","3,452,000","979,000","806,000","3,000","35,000","-32,000","1,238,000",,"526,000","238,000","806,000",0,0,"1,476,000",0,0,,,0,,"173,000",,,"12,000","12,000",,,"12,000","12,000",,0,,
1,TTM,IQ,"iQIYI, Inc.","29,653,505","25,991,684","30,974,010","-1,320,505","8,153,208","5,405,999",,,,"2,747,209",,"-9,473,713","-647,512","393,642","1,041,154","-1,159,171","-830,667",,"-11,280,396","49,250",,"-11,387,254","-11,383,995","-11,329,646","-11,329,646","-11,387,254",,,,,"-9,473,713","39,127,218","-11,383,995","-10,760,995","393,642","1,041,154","-647,512","-10,239,242","-10,239,242","30,974,010",,"-11,383,995","-830,667","-830,667","-9,408,575",0,"-207,667",,"-217,376",,,,,,,,,"-54,349",,,,,,
2,12/31/2019,IQ,"iQIYI, Inc.","28,993,658","25,250,432","30,348,342","-1,354,684","7,903,153","5,236,007",,,,"2,667,146",,"-9,257,837","-512,226","402,145","914,371","-454,824","-190,210",,"-10,224,887","51,852",,"-10,324,871","-10,323,329","-10,276,739","-10,276,739","-10,324,871",-0.0141,-0.0141,"729,269","729,269","-9,257,837","38,251,495","-10,323,329","-10,098,516","402,145","914,371","-512,226","-9,310,516",,"30,348,342","17,169,332","-10,323,329","-299,751","-299,751","8,158,567",0,"-74,938",,"-155,073","-109,541",,,"1,542",,,,,"-46,590",,,,,,
3,12/31/2018,IQ,"iQIYI, Inc.","24,989,116","22,113,473","27,132,811","-2,143,695","6,162,541","4,167,889",,,,"1,994,652",,"-8,306,236","119,258","213,969","94,711","-795,452","-970,796",,"-8,982,430","78,801",,"-9,408,766","-9,109,776","-9,061,231","-9,061,231","-9,408,766",-0.017,-0.017,"552,562","552,562","-8,306,236","33,295,352","-9,109,776","-8,525,911","213,969","94,711","119,258","-8,887,719",,"27,132,811","14,979,977","-9,109,776","-778,487","-778,487","6,870,745",0,"-194,622",,"-16,965","192,309",,,"298,990",,,,,"-48,545",,,,,,
4,12/31/2017,IQ,"iQIYI, Inc.","17,378,350","15,886,768","17,386,563","-8,213","3,944,796","2,674,990",,,,"1,269,806",,"-3,953,009","-194,450","83,127","277,577","402,962","400,737",,"-3,744,497","-7,565",,"-3,624,475","-3,736,932","-3,736,932","-3,736,932","-3,624,475",-0.0062,-0.0062,"581,625","581,625","-3,953,009","21,331,359","-3,736,932","-4,139,342","83,127","277,577","-194,450","-3,466,920",,"17,386,563","8,765,184","-3,736,932","403,225","403,225","4,895,039",0,814.6347,,-263,"2,488",,,"-112,457",,,,,0,,,,,,
5,12/31/2016,IQ,"iQIYI, Inc.","11,237,407","9,913,501","11,436,595","-199,188","2,590,306","1,765,824",,,,"824,482",,"-2,789,494","-93,468","17,009","110,477","-177,972","-238,564",,"-3,060,934","13,088",,"-7,948,761","-3,074,022","-3,074,022","-3,074,022","-7,948,761",-0.0137,-0.0137,"581,625","581,625","-2,789,494","14,026,901","-3,074,022","-2,940,618","17,009","110,477","-93,468","-2,950,457",,"11,436,595","5,019,388","-3,074,022","-177,872","-177,872","2,246,803",0,"-44,468",,-100,"60,692",,,"4,874,739",0,,,,0,,,,,,
1,TTM,Z,"Zillow Group, Inc.","3,414,554","3,414,554","2,042,345","1,372,209","1,624,371","1,119,876","362,687","362,687","757,189","504,495",,"-252,162","-122,918",,"122,918","-37,015",,"40,083","-412,095","-10,986",,"-401,109","-401,109","-401,109","-401,109","-401,109",,,,,"-329,260","3,666,716","-401,109","-326,066",,"122,918","-122,918","-289,177","-168,042","2,042,345","121,135","-401,109","-77,098","-77,098","-90,944",0,"-2,055",,,"-77,098",,,,,,,,,,,298,,,"76,800"
2,12/31/2019,Z,"Zillow Group, Inc.","2,742,837","2,742,837","1,432,021","1,310,816","1,557,651","1,080,304","366,176","366,176","714,128","477,347",,"-246,835","-101,792",,"101,792","39,008",,"39,658","-309,619","-4,258",,"-305,361","-305,361","-305,361","-305,361","-305,361",-0.0015,-0.0015,"206,380","206,380","-247,485","2,989,672","-305,361","-304,720",,"101,792","-101,792","-207,827",,"1,432,021","110,609","-305,361",-650,-650,"-96,568",0,-9.1,,,-650,,,,,,,0,,,,650,,,0
3,12/31/2018,Z,"Zillow Group, Inc.","1,333,554","1,333,554","153,590","1,179,964","1,225,592","814,774","262,153","262,153","552,621","410,818",,"-45,628","-41,255",,"41,255","-64,077",,"19,270","-150,960","-31,102",,"-119,858","-119,858","-119,858","-119,858","-119,858",0,0,"197,944","197,944","-128,975","1,379,182","-119,858","-53,764",,"41,255","-41,255","-109,705",,"153,590","99,391","-119,858","-83,347","-83,347","73,033",0,"-17,253",,,"-83,347",,,,,,,0,,,,"4,347",,,"79,000"
4,12/31/2017,Z,"Zillow Group, Inc.","1,076,794","1,076,794","85,203","991,591","979,002","659,017","210,816","210,816","448,201","319,985",,"12,589","-27,517",,"27,517","-169,078",,"5,385","-184,006","-89,586",,"-94,420","-94,420","-94,420","-94,420","-94,420",0,0,"186,453","186,453","-161,874","1,064,205","-94,420","10,258",,"27,517","-27,517","-156,489",,"85,203","110,155","-94,420","-174,463","-174,463","128,129",0,"-69,785",,,"-174,463",,,,,,,0,,,,463,,,"174,000"
5,12/31/2016,Z,"Zillow Group, Inc.","846,589","846,589","71,591","774,998","967,680","694,614","313,695","313,695","380,919","273,066",,"-192,682","-7,408",,"7,408","-20,218",,"2,711","-220,308",130,,"-220,438","-220,438","-220,438","-220,438","-220,438",-0.0012,-0.0012,"180,149","180,149","-192,854","1,039,271","-220,438","-206,681",,"7,408","-7,408","-212,900",,"71,591","100,590","-220,438","-22,929","-22,929","-89,381",0,"-9,172",,,"-22,929","22,757",,,,,,"1,251",,,,"1,423",,,
1,TTM,WUBA,58.com Inc.,"15,576,523","14,896,206","1,798,407","13,778,116","10,925,627","8,866,964","817,302","817,302","8,049,662","2,058,663",,"2,852,489","55,937",,,"6,371,134","6,117,497","259,407","9,279,560","834,334",,"8,278,214","8,453,259","8,445,226","8,445,226","8,278,214",,,,,"2,852,489","12,724,034","8,453,259","2,883,013",,,"55,937","2,852,489","3,252,157","1,798,407","399,668","8,453,259","6,121,150","6,121,150","-2,868,993",0,"550,904","-55,937","-9,423","3,653",,,"175,045",,,,"3,653","8,033",,,,,,
2,12/31/2019,WUBA,58.com Inc.,"15,576,523","14,896,206","1,798,407","13,778,116","10,925,627","8,866,964","817,302","817,302","8,049,662","2,058,663",,"2,852,489","55,937","55,937",,"6,371,134","6,117,497","259,407","9,279,560","834,334",,"8,278,214","8,453,259","8,445,226","8,445,226","8,278,214",,,,,"2,852,489","12,724,034","8,453,259","2,883,013","55,937",,"55,937","2,852,489",,"1,798,407","399,668","8,453,259","6,121,150","6,121,150","-2,868,993",0,"550,904","-55,937","-9,423","3,653",,,"175,045",,,,"3,653","8,033",,,,,,
3,12/31/2018,WUBA,58.com Inc.,"13,137,815","12,754,247","1,437,795","11,700,020","9,313,359","7,610,611","748,766","748,766","6,861,845","1,702,748",,"2,386,661","15,529",,,"26,573","39,231","82,113","2,428,763","299,705",,"1,996,995","2,129,197","2,129,058","2,129,058","1,996,995",0.0135,0.0133,"147,451","149,856","2,386,661","10,751,154","2,129,197","2,097,663",,,"15,529","2,386,661",,"1,437,795","413,092","2,129,197","35,957","35,957","2,763,796",0,"4,423","-15,529","-91,497","-3,274",,,"132,202",,,,"-3,274",139,,,,,,
4,12/31/2017,WUBA,58.com Inc.,"10,068,780","10,068,780","925,497","9,143,283","7,346,818","5,978,377","766,017","766,017","5,212,360","1,368,441",,"1,796,465","-1,623","49,781","51,404","-258,911","343,034","85,455","1,535,931","146,689",,"1,285,068","1,384,575","1,389,242","1,389,242","1,285,068",0.0088,0.0087,"145,738","147,652","1,796,465","8,272,315","1,384,575","1,074,472","49,781","51,404","-1,623","1,587,335",,"925,497","435,627","1,384,575","343,034","343,034","1,679,928",0,"32,931","1,623","-687,400",,,,"99,507",,,,,"-4,667",,,,,,
5,12/31/2016,WUBA,58.com Inc.,"7,592,127","7,592,127","707,237","6,884,890","6,651,183","5,543,286","601,906","601,906","4,941,380","1,107,897",,"233,707","-48,640","24,755","73,395","-1,009,010","-149,138","-12,713","-823,943","-50,980",,"-783,764","-768,047","-772,963","-772,963","-783,764",-0.0057,-0.0057,"143,488","143,488","233,707","7,358,420","-768,047","-702,803","24,755","73,395","-48,640","-750,548",,"707,237","406,827","-768,047","-69,557","-69,557","-274,164",0,"-4,313","50,752","-926,740","79,581",,,"15,717",,,,"79,581","4,916",,,,,,
1,TTM,WIX,Wix.com Ltd.,"761,088","761,088","196,907","564,181","644,431","393,640","85,922","85,922","307,718","250,791",,"-80,250","-1,679","19,792",,"-1,887","-1,942",55,"-83,816","2,598",,"-86,414","-86,414","-86,414","-86,414","-86,414",,,,,"-80,250","841,338","-86,414","-84,919","19,792",,"-1,679","-80,250","-63,536","196,907","16,714","-86,414","-1,942","-1,942","-61,594",0,-446.66,"21,471",,,,,,,,,,,,,,,,
2,12/31/2019,WIX,Wix.com Ltd.,"761,088","761,088","196,907","564,181","644,431","393,640","85,922","85,922","307,718","250,791",,"-80,250","-1,679","19,792",,"-1,887","-1,942",55,"-83,816","2,598",,"-86,414","-86,414","-86,414","-86,414","-86,414",-0.0017,-0.0017,"50,505","50,505","-80,250","841,338","-86,414","-84,919","19,792",,"-1,679","-80,250",,"196,907","16,714","-86,414","-1,942","-1,942","-61,594",0,-446.66,"21,471",,,,,,,,,,,,,,,,
3,12/31/2018,WIX,Wix.com Ltd.,"603,704","603,704","126,947","476,757","507,387","308,475","59,297","59,297","249,178","198,912",,"-30,630",-707,"9,607",,"-2,576","-2,087",-489,"-33,913","3,207",,"-37,120","-37,120","-37,120","-37,120","-37,120",0,0,"48,017","48,017","-30,630","634,334","-37,120","-35,513","9,607",,-707,"-30,630",,"126,947","11,508","-37,120","-2,087","-2,087","-17,035",0,-480.01,"10,314",,,,,,,,,,,,,,,,
4,12/31/2017,WIX,Wix.com Ltd.,"425,636","425,636","69,391","356,245","406,256","252,621","48,186","48,186","204,435","153,635",,"-50,011",872,"1,182",,"-5,811","-5,887",76,"-54,950","1,323",,"-56,273","-56,273","-56,273","-56,273","-56,273",-0.0012,-0.0012,"45,552","45,552","-50,011","475,647","-56,273","-51,799","1,182",,872,"-50,011",,"69,391","8,407","-56,273","-5,887","-5,887","-35,717",0,"-1,413",310,,,,,,,,,,,,,,,,
5,12/31/2016,WIX,Wix.com Ltd.,"290,103","290,103","45,287","244,816","288,848","183,480","26,968","26,968","156,512","105,368",,"-44,032",621,847,,-378,-374,-4,"-43,789","3,107",,"-46,896","-46,896","-46,896","-46,896","-46,896",-0.0011,-0.0011,"42,033","42,033","-44,032","334,135","-46,896","-46,615",847,,621,"-44,032",,"45,287","5,285","-46,896",-374,-374,"-38,373",0,-93.5,226,,,,,,,,,,,,,,,,
1,TTM,DBX,"Dropbox, Inc.","1,730,700","1,730,700","415,700","1,315,000","1,347,400","653,500","227,400","227,400","426,100","693,900",,"-32,400","11,200",,,"22,400",,"22,400","1,200","6,900",,"-5,700","-5,700","-5,700","-5,700","-5,700",,,,,"-32,400","1,763,100","-5,700","-5,700",,,"11,200","-32,400","134,800","415,700","167,200","-5,700",,,"134,800",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,DBX,"Dropbox, Inc.","1,661,300","1,661,300","411,000","1,250,300","1,330,800","668,700","245,400","245,400","423,300","662,100",,"-80,500","12,500",,,"16,000",,"16,000","-52,000",700,,"-52,700","-52,700","-52,700","-52,700","-52,700",0,0,"411,600","411,600","-80,500","1,741,800","-52,700","-52,700",,,"12,500","-80,500",,"411,000","173,500","-52,700",,,"93,000",0,0,"-12,500",,,,,,,,,,,,,,,,
3,12/31/2018,DBX,"Dropbox, Inc.","1,391,700","1,391,700","394,700","997,000","1,491,000","722,800","283,200","283,200","439,600","768,200",,"-494,000","7,100",,,"6,800",,"6,800","-480,100","4,800",,"-484,900","-484,900","-484,900","-484,900","-484,900",-0.0014,-0.0014,"358,600","358,600","-494,000","1,885,700","-484,900","-484,900",,,"7,100","-494,000",,"394,700","166,800","-484,900",,,"-327,200",0,0,"-7,100",,,,,,,,,,,,,,,,
4,12/31/2017,DBX,"Dropbox, Inc.","1,106,800","1,106,800","368,900","737,900","851,600","471,300","157,300","157,300","314,000","380,300",,"-113,700","-11,000",,,"13,200",,"13,200","-111,500",200,,"-111,700","-111,700","-111,700","-111,700","-111,700",0,0,"358,600","358,600","-113,700","1,220,500","-111,700","-111,700",,,"-11,000","-113,700",,"368,900","181,800","-111,700",,,"68,100",0,0,"11,000",,,,,,,,,,,,,,,,
5,12/31/2016,DBX,"Dropbox, Inc.","844,800","844,800","390,600","454,200","647,700","358,000","107,400","107,400","250,600","289,700",,"-193,500","-16,400",,,"4,900",,"4,900","-205,000","5,200",,"-210,200","-210,200","-210,200","-210,200","-210,200",0,0,"358,600","358,600","-193,500","1,038,300","-210,200","-210,200",,,"-16,400","-193,500",,"390,600","191,600","-210,200",,,"-1,900",0,0,"16,400",,,,,,,,,,,,,,,,
1,TTM,TME,Tencent Music Entertainment Group,"26,009,000","26,009,000","17,392,000","8,617,000","4,735,000","4,867,000","2,782,000","2,782,000","2,085,000",,,"3,882,000","578,000","645,000","67,000","-29,000",,"75,000","4,431,000","554,000",,"3,882,000","3,882,000","3,877,000","3,877,000","3,882,000",,,,,"4,522,000","22,127,000","3,882,000","3,882,000","645,000","67,000","578,000","4,498,000","4,498,000","17,392,000",,"3,882,000",,,"4,498,000",0,0,,"-24,000",,,,,,,,,"5,000",,,,,,
2,12/31/2019,TME,Tencent Music Entertainment Group,"25,434,000","25,434,000","16,761,000","8,673,000","4,612,000","4,744,000","2,703,000","2,703,000","2,041,000",,"-132,000","4,061,000","551,000","615,000","64,000","-72,000","-37,000","26,000","4,540,000","563,000",,"3,982,000","3,982,000","3,977,000","3,977,000","3,982,000",0.0024,0.0024,"1,677,533","1,677,533","4,622,000","21,373,000","3,982,000","4,052,080","615,000","64,000","551,000","4,604,000",,"16,761,000","583,000","3,982,000","-80,000","-80,000","5,267,000",0,"-9,920",,"-18,000","-43,000",,,,,,,,"5,000",,,0,,,"43,000"
3,12/31/2018,TME,Tencent Music Entertainment Group,"18,985,000","18,985,000","11,708,000","7,277,000","3,920,000","3,972,000","2,258,000","2,258,000","1,714,000",,"-52,000","3,357,000","282,000","282,000",,"-1,636,000","-96,000","-1,537,000","2,003,000","171,000",,"1,833,000","1,833,000","1,832,000","1,832,000","1,833,000",0.0012,0.0012,"1,538,157","1,579,610","2,039,000","15,628,000","1,833,000","1,922,634","282,000",,"282,000","3,357,000",,"11,708,000","369,000","1,833,000","-98,000","-98,000","3,824,000",0,"-8,366",,"-1,000","-2,000",,,,,,,,"1,000",,,,,,"2,000"
4,12/31/2017,TME,Tencent Music Entertainment Group,"10,981,000","10,981,000","7,171,000","3,810,000","2,404,000","2,434,000","1,521,000","1,521,000","913,000",,"-30,000","1,406,000","93,000","93,000",,"98,000","18,000","6,000","1,597,000","278,000",,"1,326,000","1,326,000","1,319,000","1,319,000","1,326,000",0,0,"1,635,451","1,635,451","1,593,000","9,575,000","1,326,000","1,253,319","93,000",,"93,000","1,406,000",,"7,171,000","379,000","1,326,000","88,000","88,000","1,697,000",0,"15,319",,"4,000","70,000",,,,,,,,"7,000",,,"-72,000",,,"2,000"
5,12/31/2016,TME,Tencent Music Entertainment Group,"4,361,000","4,361,000","3,129,000","1,232,000","1,139,000","1,148,000","783,000","783,000","365,000",,"-9,000","93,000","32,000","32,000",,"-11,000","-23,000","1,000","114,000","29,000",,"82,000","82,000","85,000","85,000","82,000",0,0,"1,635,451","1,635,451","103,000","4,268,000","82,000","99,149","32,000",,"32,000","93,000",,"3,129,000","236,000","82,000","-23,000","-23,000","352,000",0,"-5,851",,"11,000",0,,,,,,,,"-3,000",,,0,,,0
1,TTM,ROKU,"Roku, Inc.","1,243,025","1,243,025","707,591","535,434","644,918","347,367","134,071","134,071","213,296","297,551",,"-109,484","-3,131",,"3,131","6,800",,"6,800","-105,815",-998,,"-104,817","-104,817","-104,817","-104,817","-104,817",,,,,"-109,484","1,352,509","-104,817","-104,817",,"3,131","-3,131","-102,684","-81,416","707,591","21,268","-104,817",,,"-81,416",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,ROKU,"Roku, Inc.","1,128,921","1,128,921","633,697","495,224","560,283","295,272","116,417","116,417","178,855","265,011",,"-65,059","-2,366",,"2,366","6,506",,"6,506","-60,919",-982,,"-59,937","-59,937","-59,937","-59,937","-59,937",0,0,"115,218","115,218","-65,059","1,193,980","-59,937","-59,937",,"2,366","-2,366","-58,553",,"633,697","15,669","-59,937",0,0,"-42,884",0,0,,,0,,,,,,,,,,,,,,
3,12/31/2018,ROKU,"Roku, Inc.","742,506","742,506","410,358","332,148","345,444","174,752","71,972","71,972","102,780","170,692",,"-13,296",-346,,346,"4,309",,"4,309","-9,333",-476,,"-8,857","-8,857","-8,857","-8,857","-8,857",0,0,"104,618","104,618","-13,296","755,802","-8,857","-8,857",,346,-346,"-8,987",,"410,358","8,389","-8,857",0,0,-598,0,0,,,0,,,,,,,,,,,,,,
4,12/31/2017,ROKU,"Roku, Inc.","512,763","512,763","312,930","199,833","219,449","111,504","47,435","47,435","64,069","107,945",,"-19,616","-1,612",,"1,612","-41,966","-40,333",705,"-63,194",315,,"-63,509","-63,509","-63,509","-63,509","-63,509",-0.0022,-0.0022,"28,308","28,308","-19,616","532,379","-63,509","-37,906",,"1,612","-1,612","-61,582",,"312,930","5,336","-63,509","-42,671","-42,671","-13,575",0,"-17,068",,,"-2,338","2,338",,,,,,,,,,,,,
5,12/31/2016,ROKU,"Roku, Inc.","398,649","398,649","277,604","121,045","164,406","88,229","35,341","35,341","52,888","76,177",,"-43,361",146,146,146,668,888,-220,"-42,547",211,,"-42,758","-42,758","-42,758","-42,758","-42,758",0,0,"85,590","85,590","-43,361","442,010","-42,758","-43,291",146,146,146,"-43,361",,"277,604","5,302","-42,758",888,888,"-38,947",0,355.2,,,,,,,,,,,,,,,,,
1,TTM,WB,Weibo Corporation,"1,691,126","1,691,126","320,119","1,371,007","838,477","549,477","91,187","91,187","458,290","289,000",,"532,530","57,614","87,510",,"-91,412",,,"498,732","104,374",,"396,341","396,341","394,358","394,358","396,341",,,,,"532,530","1,158,596","396,341","626,180","87,510",,"57,614","567,239","567,239","320,119",,"396,341","-290,670","-290,670","857,909",0,"-60,831",,,"-290,670",,,,,,,,"1,983",,,,,,"215,076"
2,12/31/2019,WB,Weibo Corporation,"1,766,914","1,766,914","328,826","1,438,088","840,504","556,060","90,721","90,721","465,339","284,444",,"597,584","55,490","85,386","29,896","-50,677","194,852","4,406","602,397","109,564",,"494,675","494,675","492,833","492,833","494,675",0.0022,0.0022,"225,452","226,412","597,584","1,169,330","494,675","539,740","85,386","29,896","55,490","632,293",,"328,826","29,565","494,675","-55,083","-55,083","716,941",0,"-10,018","-46,698",,"-249,935",,,,,,,,"1,842",,,,0,,"249,935"
3,12/31/2018,WB,Weibo Corporation,"1,718,518","1,718,518","277,648","1,440,870","821,052","571,179","43,755","43,755","527,424","249,873",,"619,818","43,808","43,808",,"5,216","39,844",,"668,842","96,222",,"571,823","571,823","572,620","572,620","571,823",0.0026,0.0025,"223,751","232,683","609,264","1,098,700","571,823","567,311","43,808",,"43,808","619,818",,"277,648","19,847","571,823","5,216","5,216","634,449",0,704.16,"-43,808",,"-34,628",,,,,,,,-797,,,,"10,554",,"24,074"
4,12/31/2017,WB,Weibo Corporation,"1,150,054","1,150,054","231,255","918,799","511,245","317,852","42,315","42,315","275,537","193,393",,"407,554","13,260","13,260",,"-3,703","1,044",,"417,111","66,746",,"352,590","352,590","350,365","350,365","352,590",0.0016,0.0016,"220,555","225,363","407,554","742,500","352,590","355,767","13,260",,"13,260","407,554",,"231,255","15,328","352,590","-3,703","-3,703","426,585",0,-525.826,"-13,260",,"-4,747",,,,,,,,"2,225",,,,,,"4,747"
5,12/31/2016,WB,Weibo Corporation,"655,800","570,982","171,231","484,569","343,589","189,501","41,218","41,218","148,283","154,088",,"140,980","8,757","8,757",,"-39,757",404,,"109,980","4,316",,"108,027","108,027","105,664","105,664","108,027",0,0,"214,745","222,859","140,980","514,820","108,027","146,790","8,757",,"8,757","140,980",,"171,231","13,982","108,027","-39,757","-39,757","194,719",0,-993.925,"-8,757",,"-40,161",,,,,,,,"2,363",,,,,,"40,161"
